,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Florida
5,Georgia
6,Idaho
7,Illinois
8,Kansas
9,Kentucky
10,Louisiana
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,New Hampshire
16,North Carolina
17,North Dakota
18,South Carolina
19,South Dakota
20,Tennessee
21,Texas
22,Virginia
